================================================================================
ANÁLISIS LÉXICO - TOKENS ENCONTRADOS
Archivo: input/ejemplo1.txt
================================================================================
TIPO                 LEXEMA                         LÍNEA      COLUMNA   
INT_LITERAL          100                            58         25        
SEMICOLON            ;                              58         28        
BREAK                break                          59         13        
SEMICOLON            ;                              59         18        
CASE                 case                           60         9         
INT_LITERAL          13                             60         14        
COLON                :                              60         16        
ID                   resultado                      61         13        
ASSIGN               =                              61         23        
INT_LITERAL          130                            61         25        
SEMICOLON            ;                              61         28        
BREAK                break                          62         13        
SEMICOLON            ;                              62         18        
DEFAULT              default                        63         9         
COLON                :                              63         16        
ID                   resultado                      64         13        
ASSIGN               =                              64         23        
INT_LITERAL          0                              64         25        
SEMICOLON            ;                              64         26        
RBRACE               }                              65         5         
INT                  int                            68         5         
ID                   mascara                        68         9         
ASSIGN               =                              68         17        
HEX_LITERAL          0xFF                           68         19        
SEMICOLON            ;                              68         23        
INT                  int                            69         5         
ID                   binario                        69         9         
ASSIGN               =                              69         17        
BINARY_LITERAL       0b11110000                     69         19        
SEMICOLON            ;                              69         29        
INT                  int                            70         5         
ID                   hex                            70         9         
ASSIGN               =                              70         13        
HEX_LITERAL          0xABCD                         70         15        
SEMICOLON            ;                              70         21        
ID                   mascara                        72         5         
ASSIGN               =                              72         13        
ID                   mascara                        72         15        
BIT_AND              &                              72         23        
ID                   binario                        72         25        
SEMICOLON            ;                              72         32        
ID                   mascara                        73         5         
ASSIGN               =                              73         13        
ID                   mascara                        73         15        
BIT_OR               |                              73         23        
ID                   hex                            73         25        
SEMICOLON            ;                              73         28        
ID                   mascara                        74         5         
ASSIGN               =                              74         13        
ID                   mascara                        74         15        
BIT_XOR              ^                              74         23        
HEX_LITERAL          0x0F                           74         25        
SEMICOLON            ;                              74         29        
ID                   mascara                        75         5         
ASSIGN               =                              75         13        
BIT_NOT              ~                              75         15        
ID                   mascara                        75         16        
SEMICOLON            ;                              75         23        
INT                  int                            78         5         
ID                   config                         78         9         
ASSIGN               =                              78         16        
ID                   configurar_pin                 78         18        
LPAREN               (                              78         32        
ID                   pin1                           78         33        
COMMA                ,                              78         37        
BINARY_LITERAL       0b0011                         78         39        
RPAREN               )                              78         45        
SEMICOLON            ;                              78         46        
INT                  int                            79         5         
ID                   lectura                        79         9         
ASSIGN               =                              79         17        
ID                   leer_sensor                    79         19        
LPAREN               (                              79         30        
ID                   pin2                           79         31        
RPAREN               )                              79         35        
SEMICOLON            ;                              79         36        
DO                   do                             82         5         
LBRACE               {                              82         8         
ID                   lectura                        83         9         
ASSIGN               =                              83         17        
ID                   lectura                        83         19        
PLUS                 +                              83         27        
INT_LITERAL          1                              83         29        
SEMICOLON            ;                              83         30        
RBRACE               }                              84         5         
WHILE                while                          84         7         
LPAREN               (                              84         13        
ID                   lectura                        84         14        
LT                   <                              84         22        
INT_LITERAL          100                            84         24        
RPAREN               )                              84         27        
SEMICOLON            ;                              84         28        
RETURN               return                         86         5         
INT_LITERAL          0                              86         12        
SEMICOLON            ;                              86         13        
RBRACE               }                              87         1         
--------------------------------------------------------------------------------
Total de tokens encontrados: 306
================================================================================
