================================================================================
ANÁLISIS LÉXICO - TOKENS ENCONTRADOS
Archivo: input\ejemplo_nuevo.txt
================================================================================
TIPO                 LEXEMA                         LÍNEA      COLUMNA   
ASSIGN               =                              70         11        
ID                   x                              70         13        
MINUS                -                              70         15        
INT_LITERAL          1                              70         17        
ENDL                 endl                           70         19        
EXIT                 exit                           71         9         
WHEN                 when                           71         14        
ID                   x                              71         19        
EQ                   ==                             71         21        
INT_LITERAL          0                              71         24        
ENDL                 endl                           71         26        
END                  end                            72         5         
LOOP                 loop                           72         9         
ENDL                 endl                           72         14        
LOCAL                local                          75         5         
INT                  int                            75         11        
ID                   j                              75         15        
ASSIGN               =                              75         17        
INT_LITERAL          0                              75         19        
ENDL                 endl                           75         21        
FOR                  for                            76         5         
LPAREN               ¿                              76         9         
ID                   j                              76         11        
ASSIGN               =                              76         13        
INT_LITERAL          0                              76         15        
ENDL                 endl                           76         17        
ID                   j                              76         22        
LT                   <                              76         24        
INT_LITERAL          10                             76         26        
ENDL                 endl                           76         29        
INCREMENT            ++                             76         34        
ID                   j                              76         36        
RPAREN               ?                              76         38        
LBRACE               ¡                              77         5         
DECIDE               decide                         78         9         
OF                   of                             78         16        
ID                   j                              79         13        
EQ                   ==                             79         15        
INT_LITERAL          5                              79         18        
ARROW                ->                             79         20        
LBRACE               ¡                              79         23        
BREAK                break                          79         25        
ENDL                 endl                           79         31        
RBRACE               !                              79         36        
END                  end                            80         9         
DECIDE               decide                         80         13        
ENDL                 endl                           80         20        
RBRACE               !                              81         5         
ID                   matriz                         84         5         
LBRACKET             [                              84         11        
INT_LITERAL          0                              84         12        
RBRACKET             ]                              84         13        
LBRACKET             [                              84         14        
INT_LITERAL          0                              84         15        
RBRACKET             ]                              84         16        
ASSIGN               =                              84         18        
INT_LITERAL          100                            84         20        
ENDL                 endl                           84         24        
LOCAL                local                          85         5         
INT                  int                            85         11        
ID                   elemento                       85         15        
ASSIGN               =                              85         24        
ID                   matriz                         85         26        
LBRACKET             [                              85         32        
INT_LITERAL          0                              85         33        
RBRACKET             ]                              85         34        
LBRACKET             [                              85         35        
INT_LITERAL          0                              85         36        
RBRACKET             ]                              85         37        
ENDL                 endl                           85         39        
SHOW                 show                           86         5         
ID                   elemento                       86         10        
ENDL                 endl                           86         19        
LOCAL                local                          89         5         
INT                  int                            89         11        
ID                   res_potencia                   89         15        
ASSIGN               =                              89         28        
ID                   potencia                       89         30        
LPAREN               ¿                              89         39        
INT_LITERAL          2                              89         41        
COMMA                ,                              89         42        
INT_LITERAL          8                              89         44        
RPAREN               ?                              89         46        
ENDL                 endl                           89         48        
SHOW                 show                           90         5         
ID                   res_potencia                   90         10        
ENDL                 endl                           90         23        
LOCAL                local                          93         5         
BOOL                 bool                           93         11        
ID                   condicion                      93         16        
ASSIGN               =                              93         26        
LPAREN               ¿                              93         28        
ID                   x                              93         30        
GT                   >                              93         32        
INT_LITERAL          0                              93         34        
RPAREN               ?                              93         36        
AND                  @                              93         38        
LPAREN               ¿                              93         40        
ID                   y                              93         42        
LT                   <                              93         44        
FLOAT_LITERAL        10.0                           93         46        
RPAREN               ?                              93         51        
OR                   ~                              93         53        
NOT                  Σ                              93         55        
LPAREN               ¿                              93         57        
ID                   x                              93         59        
EQ                   ==                             93         61        
INT_LITERAL          0                              93         64        
RPAREN               ?                              93         66        
ENDL                 endl                           93         68        
LOCAL                local                          96         5         
INT                  int                            96         11        
ID                   d_int                          96         15        
ASSIGN               =                              96         21        
INT_LITERAL          10                             96         23        
DIV_INT              //                             96         26        
INT_LITERAL          3                              96         29        
ENDL                 endl                           96         31        
LOCAL                local                          97         5         
FLOAT                float                          97         11        
ID                   d_float                        97         17        
ASSIGN               =                              97         25        
FLOAT_LITERAL        10.0                           97         27        
DIV                  /                              97         32        
FLOAT_LITERAL        3.0                            97         34        
ENDL                 endl                           97         38        
RETURN               return                         99         5         
COAL                 coal                           99         12        
ENDL                 endl                           99         17        
RBRACE               !                              100        1         
--------------------------------------------------------------------------------
Total de tokens encontrados: 343
================================================================================
